database_name,database_url,database_information
AAFP Conditions A to Z,http://libproxy.clemson.edu/login?url=https://online.statref.com/Document.aspx?grpalias=PASC&FxId=99,patient information tool created by the American Academy of Family Physicians (AAFP)
AATA Online,http://aata.getty.edu/,"online version of Art and Archaeology Technical Abstracts, including abstracts from collections at the Fogg Art Museum and the Freer Gallery of Art; indexes 150 journals and conference proceedings, monographs, reviews, and dissertations in the field of cultural heritage conservation published 1932-present"
Academic OneFile (Gale),http://libproxy.clemson.edu/login?url=https://go.gale.com/ps/start.do?p=AONE&u=clemsonu_main,"all subject areas, 1995-present"
Academic Search Ultimate,"http://libproxy.clemson.edu/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=asn","This expansive collection covers all disciplines with well over 5,000 journals and magazines included. This resource is an upgrade to the Academic Search Complete collection."
Access APN,http://libproxy.clemson.edu/login?url=https://apn.mhmedical.com/,"AccessAPN is a comprehensive online resource dedicated to the education of advanced practice nursing students. It features a wide range of content that aligns perfectly with the curricula of Advanced Practice Nursing programs, Nursing Practitioners, Clinical Nurse Specialists, Certified Registered Nurse Anesthetists, Certified Nurse Midwives, and Doctors of Nursing Practice."
Access Engineering,http://libproxy.clemson.edu/login?url=https://www.accessengineeringlibrary.com/,"AccessEngineering is an award-winning engineering reference and teaching platform that delivers world-renowned, interdisciplinary engineering content integrated with analytical teaching and learning tools."
Access Medicine,http://libproxy.clemson.edu/login?url=https://accessmedicine.mhmedical.com/,"Access Medicine is a comprehensive online medical resource that provides a complete spectrum of knowledge from the best minds in medicine, with essential information accessible anywhere."
Access World News (Formerly America's News),http://libproxy.clemson.edu/login?url=https://infoweb.newsbank.com/apps/news/?p=AWNB,"Find global information on topics related to business, education, government, health, jobs and careers, politics and more from a variety of news media featuring newspapers, videos, images and web-only content including the Anderson Independent-Mail, Post & Courier, The State, USA Today and international sources.
This is an expanded collection that includes all content from Newsbank's America's News collection."
Accessible Archives,http://libproxy.clemson.edu/login?url=http://www.accessible.com/accessible/preLog,"accounts of American historical events, descriptions of daily life, editorial observations, advertisements, and genealogical records"
Accounting Research Manager,http://libproxy.clemson.edu/login?url=http://classic.accountingresearchmanager.com/wk/rm.nsf/arm.html?Open,"browse and search accounting and auditing standards, including government standards: AICPA, FASB, EITF, IASB, PCAOB, GASB, and Miller Guides
Limit: 2 simultaneous users"
"Accounting, Tax, & Banking Collection",http://libproxy.clemson.edu/login?url=https://search.proquest.com/accounting?accountid=6167,"global and scholarly journals on accounting and tax news, trends, and history; 1971-present"
ACLS Humanities E-Books,http://libproxy.clemson.edu/login?url=https://www.fulcrum.org/heb,"This is a digital collection of over 5,400 seminal books in the humanities and related social sciences."
ACM Digital Library,http://libproxy.clemson.edu/login?url=http://www.acm.org/dl/,"full-text access to Association for Computing Machinery (ACM) publications
Limit: 3 simultaneous users"
ACM Digital Library,http://libproxy.clemson.edu/login?url=http://portal.acm.org/guide.cfm?coll=portal&dl=GUIDE&CFID=21693259&CFTOKEN=68500546,"Association for Computing Machinery, computer science and programming; 1947-present"
ACS Symposium Series,http://libproxy.clemson.edu/login?url=https://pubs.acs.org/series/symposium,"The ACS Symposium Series provides high-quality, peer-reviewed eBooks developed from ACS symposia. Each chapter is carefully authored by an expert in the field, and the collection of chapters edited by an internationally recognized leader in the field. The series covers a broad range of topics including agricultural and food chemistry, cellulose and renewable materials, chemical education, organic chemistry, polymer chemistry, materials, and many others."
Adam Matthew Complete Collection,http://libproxy.clemson.edu/login?url=https://www.amdigital.co.uk/products/products,"Nearly 80 historical archives are present in this massive and expansive collection. Content from a few collections may be inaccessible, but the majority of the resources are fully activated."
